Created with UCDetector 2.0.0	2023-11-20 17:18:44	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
main.impostazioni.PanelImpostazioni.COMPONENTI(PanelImpostazioni.java:16)	Constant "PanelImpostazioni.COMPONENTI" has 0 references	PanelImpostazioni.COMPONENTI	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.AGG_PIATTO(PanelImpostazioni.java:17)	Constant "PanelImpostazioni.AGG_PIATTO" has 0 references	PanelImpostazioni.AGG_PIATTO	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.MOD_PIATTO(PanelImpostazioni.java:18)	Constant "PanelImpostazioni.MOD_PIATTO" has 0 references	PanelImpostazioni.MOD_PIATTO	org.ucdetector.analyzeMarkerReference	
main.impostazioni.PanelImpostazioni.panelSx(PanelImpostazioni.java:24)	Change visibility of Field "PanelImpostazioni.panelSx" to private	PanelImpostazioni.panelSx	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioni.panelDx(PanelImpostazioni.java:29)	Change visibility of Field "PanelImpostazioni.panelDx" to private	PanelImpostazioni.panelDx	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniAggiungi.<init>(PanelImpostazioniAggiungi.java:5)	Change visibility of Class "PanelImpostazioniAggiungi" to default - May cause compile errors!	PanelImpostazioniAggiungi	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.<init>(PanelImpostazioniSinistro.java:10)	Change visibility of Class "PanelImpostazioniSinistro" to default - May cause compile errors!	PanelImpostazioniSinistro	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.PanelImpostazioniSinistro(PanelImpostazioniSinistro.java:20)	Change visibility of Constructor "PanelImpostazioniSinistro.PanelImpostazioniSinistro(ActionListener)" to default	PanelImpostazioniSinistro.PanelImpostazioniSinistro(ActionListener)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.repaintPanel(PanelImpostazioniSinistro.java:54)	Change visibility of Method "PanelImpostazioniSinistro.repaintPanel(JButton)" to default	PanelImpostazioniSinistro.repaintPanel(JButton)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.getTipoBtn(PanelImpostazioniSinistro.java:64)	Change visibility of Method "PanelImpostazioniSinistro.getTipoBtn(JButton)" to default	PanelImpostazioniSinistro.getTipoBtn(JButton)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniSinistro.btnImpostazioni(PanelImpostazioniSinistro.java:15)	Change visibility of Field "PanelImpostazioniSinistro.btnImpostazioni" to private	PanelImpostazioniSinistro.btnImpostazioni	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniTavoli.<init>(PanelImpostazioniTavoli.java:28)	Change visibility of Class "PanelImpostazioniTavoli" to default - May cause compile errors!	PanelImpostazioniTavoli	org.ucdetector.analyzeMarkerVisibilityDefault	
main.impostazioni.PanelImpostazioniTavoli.listaDiProva(PanelImpostazioniTavoli.java:32)	Change visibility of Field "PanelImpostazioniTavoli.listaDiProva" to private	PanelImpostazioniTavoli.listaDiProva	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniTavoli.panelSopra(PanelImpostazioniTavoli.java:51)	Change visibility of Field "PanelImpostazioniTavoli.panelSopra" to private	PanelImpostazioniTavoli.panelSopra	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniTavoli.tavoloSelezionato(PanelImpostazioniTavoli.java:53)	Change visibility of Field "PanelImpostazioniTavoli.tavoloSelezionato" to private	PanelImpostazioniTavoli.tavoloSelezionato	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.impostazioni.PanelImpostazioniTavoli.lblTavoloSelezionato(PanelImpostazioniTavoli.java:55)	Change visibility of Field "PanelImpostazioniTavoli.lblTavoloSelezionato" to private	PanelImpostazioniTavoli.lblTavoloSelezionato	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoli.PanelBottoniTavoli.getPulstanteTavolo(PanelBottoniTavoli.java:68)	Method "PanelBottoniTavoli.getPulstanteTavolo(Tavolo)" has 0 references	PanelBottoniTavoli.getPulstanteTavolo(Tavolo)	org.ucdetector.analyzeMarkerReference	
main.tavoloOccupato.LabelOrdine.<init>(LabelOrdine.java:7)	Class "LabelOrdine" has 0 references	LabelOrdine	org.ucdetector.analyzeMarkerReference	
main.tavoloOccupato.PanelPiattoOrdinatoSelettore.piattoOrdinato(PanelPiattoOrdinatoSelettore.java:19)	Change visibility of Field "PanelPiattoOrdinatoSelettore.piattoOrdinato" to private	PanelPiattoOrdinatoSelettore.piattoOrdinato	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.PanelPiattoOrdinatoSelettore.lblNomePiatto(PanelPiattoOrdinatoSelettore.java:20)	Change visibility of Field "PanelPiattoOrdinatoSelettore.lblNomePiatto" to private	PanelPiattoOrdinatoSelettore.lblNomePiatto	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.PanelPiattoOrdinatoSelettore.lblNumeroOrdini(PanelPiattoOrdinatoSelettore.java:21)	Change visibility of Field "PanelPiattoOrdinatoSelettore.lblNumeroOrdini" to private	PanelPiattoOrdinatoSelettore.lblNumeroOrdini	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.PanelPiattoOrdinatoSelettore.btnMeno(PanelPiattoOrdinatoSelettore.java:22)	Change visibility of Field "PanelPiattoOrdinatoSelettore.btnMeno" to private	PanelPiattoOrdinatoSelettore.btnMeno	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.PanelPiattoOrdinatoSelettore.btnPiu(PanelPiattoOrdinatoSelettore.java:23)	Change visibility of Field "PanelPiattoOrdinatoSelettore.btnPiu" to private	PanelPiattoOrdinatoSelettore.btnPiu	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.TextAreaCommentoPiatto.<init>(TextAreaCommentoPiatto.java:35)	Change visibility of ClassMember "TextAreaCommentoPiatto.ActionClickTextField" to private - May cause compile errors!	TextAreaCommentoPiatto.ActionClickTextField	org.ucdetector.analyzeMarkerVisibilityPrivate	
main.tavoloOccupato.panel.PanelTavoloOccupato.aggiungiPiatto(PanelTavoloOccupato.java:90)	Change visibility of Method "PanelTavoloOccupato.aggiungiPiatto(TextAreaCommentoPiatto)" to default	PanelTavoloOccupato.aggiungiPiatto(TextAreaCommentoPiatto)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.tavoloOccupato.panel.PanelTavoloOccupatoDestro.<init>(PanelTavoloOccupatoDestro.java:26)	Change visibility of Class "PanelTavoloOccupatoDestro" to default - May cause compile errors!	PanelTavoloOccupatoDestro	org.ucdetector.analyzeMarkerVisibilityDefault	
main.tavoloOccupato.panel.PanelTavoloOccupatoDestro.PanelTavoloOccupatoDestro(PanelTavoloOccupatoDestro.java:36)	Change visibility of Constructor "PanelTavoloOccupatoDestro.PanelTavoloOccupatoDestro(List<Componente>,PanelTavoloOccupato)" to default	PanelTavoloOccupatoDestro.PanelTavoloOccupatoDestro(List<Componente>,PanelTavoloOccupato)	org.ucdetector.analyzeMarkerVisibilityDefault	
main.tavoloOccupato.panel.PanelTavoloOccupatoDestro.repaintPanel(PanelTavoloOccupatoDestro.java:86)	Change visibility of Method "PanelTavoloOccupatoDestro.repaintPanel()" to default	PanelTavoloOccupatoDestro.repaintPanel()	org.ucdetector.analyzeMarkerVisibilityDefault	
main.tavoloOccupato.panel.PanelTavoloOccupatoDestro.listaPanelComponenti(PanelTavoloOccupatoDestro.java:30)	Change visibility of Field "PanelTavoloOccupatoDestro.listaPanelComponenti" to private	PanelTavoloOccupatoDestro.listaPanelComponenti	org.ucdetector.analyzeMarkerVisibilityPrivate	
